Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2024-04-21,Likasi Shop,FG00351,INV-20240421-Lik-224,Customer_79,CUST079,17,0,25.65,436.04999999999995,Hospital
2024-04-05,Kolwezi Shop,FG00175,INV-20240405-Kol-984,Customer_89,CUST089,12,1,32.61,423.93,Retail
2024-04-12,Pompage Shop,FG00033,INV-20240412-Pom-527,Customer_48,CUST048,10,0,3.35,33.5,Retail
2024-04-07,Bunia Shop,FG00353,INV-20240407-Bun-749,Customer_41,CUST041,11,0,49.92,549.12,Wholesale
2024-04-26,Mwevu Shop,FG00285,INV-20240426-Mwe-815,Customer_43,CUST043,19,0,23.47,445.92999999999995,Retail
2024-04-05,Bunia Shop,FG00401,INV-20240405-Bun-825,Customer_30,CUST030,12,0,4.84,58.08,Hospital
2024-04-20,Mbandaka Shop,FG00417,INV-20240420-Mba-676,Customer_63,CUST063,26,3,12.3,356.70000000000005,Wholesale
2024-04-01,Bunia Shop,FG00262,INV-20240401-Bun-868,Customer_50,CUST050,14,2,39.61,633.76,Retail
2024-04-20,Bunia Shop,FG00042,INV-20240420-Bun-717,Customer_60,CUST060,24,0,20.21,485.04,Hospital
2024-04-09,Matadi Shop,FG00231,INV-20240409-Mat-910,Customer_25,CUST025,24,0,31.96,767.04,Wholesale
2024-04-23,Appolo Depot,FG00187,INV-20240423-App-585,Customer_8,CUST008,20,2,61.56,1354.3200000000002,Retail
2024-04-08,Kinshasa,FG00168,INV-20240408-Kin-594,Customer_80,CUST080,24,0,10.14,243.36,Hospital
2024-04-05,Mwevu Shop,FG00490,INV-20240405-Mwe-719,Customer_41,CUST041,7,0,66.93,468.51000000000005,Hospital
2024-04-07,UPN,FG00491,INV-20240407-UPN-223,Customer_78,CUST078,28,2,18.66,559.8,Wholesale
2024-04-24,Boma Shop,FG00377,INV-20240424-Bom-918,Customer_68,CUST068,12,2,42.4,593.6,Hospital
2024-04-10,Mbandaka Shop,FG00405,INV-20240410-Mba-938,Customer_90,CUST090,26,0,25.02,650.52,Retail
2024-04-10,Kananga Shop,FG00105,INV-20240410-Kan-129,Customer_4,CUST004,17,0,36.38,618.46,Hospital
2024-04-21,Kingaraz,FG00041,INV-20240421-Kin-251,Customer_100,CUST100,30,0,10.47,314.1,Wholesale
2024-04-21,Matadi Kibala,FG00285,INV-20240421-Mat-876,Customer_57,CUST057,43,0,23.47,1009.2099999999999,Wholesale
2024-04-04,Mwevu Shop,FG00234,INV-20240404-Mwe-721,Customer_91,CUST091,12,0,25.13,301.56,Wholesale
2024-04-10,R P Ngaba,FG00301,INV-20240410-R P-226,Customer_3,CUST003,6,0,2.82,16.919999999999998,Retail
2024-04-28,Bunia Shop,FG00283,INV-20240428-Bun-422,Customer_19,CUST019,23,0,15.52,356.96,Hospital
2024-04-13,Goma,FG00322,INV-20240413-Gom-505,Customer_42,CUST042,27,0,28.82,778.14,Retail
2024-04-11,Lubumbashi,FG00330,INV-20240411-Lub-874,Customer_73,CUST073,17,0,19.71,335.07,Hospital
2024-04-02,Boma Shop,FG00371,INV-20240402-Bom-608,Customer_17,CUST017,34,0,5.94,201.96,Retail
2024-04-03,Tshikapa Shop,FG00078,INV-20240403-Tsh-830,Customer_21,CUST021,26,0,4.63,120.38,Retail
2024-04-03,Kikwit Shop,FG00498,INV-20240403-Kik-522,Customer_11,CUST011,13,0,7.21,93.73,Wholesale
2024-04-25,Matadi Shop,FG00253,INV-20240425-Mat-637,Customer_8,CUST008,37,0,42.71,1580.27,Wholesale
2024-04-21,Matete Shop,FG00356,INV-20240421-Mat-933,Customer_12,CUST012,39,0,32.48,1266.7199999999998,Retail
2024-04-15,R P Ngaba,FG00060,INV-20240415-R P-332,Customer_34,CUST034,12,1,25.41,330.33,Retail
2024-04-02,Goma,FG00027,INV-20240402-Gom-330,Customer_90,CUST090,28,0,10.78,301.84,Wholesale
