Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2024-02-06,Goma,FG00311,INV-20240206-Gom-227,Customer_38,CUST038,29,0,22.51,652.7900000000001,Hospital
2024-02-24,Matete Shop,FG00087,INV-20240224-Mat-111,Customer_98,CUST098,1,0,29.4,29.4,Hospital
2024-02-09,Appolo Depot,FG00226,INV-20240209-App-831,Customer_28,CUST028,40,0,12.96,518.4000000000001,Retail
2024-02-22,NCPC Shop,FG00227,INV-20240222-NCP-930,Customer_82,CUST082,18,0,73.02,1314.36,Hospital
2024-02-21,Kimpese Shop,FG00200,INV-20240221-Kim-153,Customer_57,CUST057,31,0,31.37,972.47,Hospital
2024-02-01,Boma Shop,FG00396,INV-20240201-Bom-355,Customer_26,CUST026,9,0,46.61,419.49,Wholesale
2024-02-08,UPN,FG00047,INV-20240208-UPN-114,Customer_4,CUST004,26,0,13.02,338.52,Wholesale
2024-02-27,UPN,FG00349,INV-20240227-UPN-198,Customer_29,CUST029,9,0,19.36,174.24,Hospital
2024-02-06,R P Ngaba,FG00023,INV-20240206-R P-935,Customer_14,CUST014,13,0,12.26,159.38,Wholesale
2024-02-11,UPN,FG00320,INV-20240211-UPN-504,Customer_70,CUST070,39,0,13.26,517.14,Wholesale
2024-02-04,Kisangani Shop,FG00110,INV-20240204-Kis-277,Customer_42,CUST042,18,0,4.77,85.85999999999999,Retail
2024-02-13,Bunia Shop,FG00007,INV-20240213-Bun-325,Customer_59,CUST059,22,0,3.85,84.7,Retail
2024-02-22,Mwevu Shop,FG00333,INV-20240222-Mwe-168,Customer_6,CUST006,28,0,2.56,71.68,Retail
2024-02-14,Likasi Shop,FG00393,INV-20240214-Lik-829,Customer_14,CUST014,24,0,15.38,369.12,Hospital
2024-02-26,R P Ngaba,FG00129,INV-20240226-R P-432,Customer_77,CUST077,21,2,1.07,24.610000000000003,Hospital
2024-02-23,Matadi Kibala,FG00348,INV-20240223-Mat-810,Customer_99,CUST099,44,1,3.22,144.9,Retail
2024-02-11,Liberte,FG00326,INV-20240211-Lib-425,Customer_89,CUST089,22,3,55.74,1393.5,Hospital
2024-02-16,Matadi Shop,FG00172,INV-20240216-Mat-559,Customer_75,CUST075,31,0,1.45,44.949999999999996,Wholesale
2024-02-17,Kisangani Shop,FG00258,INV-20240217-Kis-338,Customer_2,CUST002,31,0,35.11,1088.41,Retail
2024-02-20,Unique Commercial,FG00159,INV-20240220-Uni-875,Customer_55,CUST055,26,0,12.64,328.64,Retail
2024-02-20,Pascal Shop,FG00031,INV-20240220-Pas-403,Customer_64,CUST064,8,0,24.62,196.96,Retail
2024-02-05,Matadi Kibala,FG00105,INV-20240205-Mat-842,Customer_31,CUST031,36,0,36.38,1309.68,Hospital
2024-02-15,Bukavu Shop,FG00069,INV-20240215-Buk-905,Customer_83,CUST083,8,0,3.72,29.76,Retail
2024-02-17,Kingaraz,FG00332,INV-20240217-Kin-124,Customer_97,CUST097,23,1,30.5,732.0,Retail
2024-02-28,Bukavu Shop,FG00176,INV-20240228-Buk-155,Customer_70,CUST070,19,0,9.54,181.26,Hospital
2024-02-08,Kisangani Shop,FG00312,INV-20240208-Kis-429,Customer_67,CUST067,23,2,3.87,96.75,Retail
2024-02-15,Kinshasa,FG00034,INV-20240215-Kin-297,Customer_9,CUST009,24,3,71.25,1923.75,Retail
2024-02-21,Appolo Depot,FG00481,INV-20240221-App-277,Customer_12,CUST012,24,0,25.47,611.28,Hospital
2024-02-18,NCPC Shop,FG00121,INV-20240218-NCP-842,Customer_55,CUST055,17,0,32.45,551.6500000000001,Wholesale
2024-02-10,R P Ngaba,FG00370,INV-20240210-R P-280,Customer_55,CUST055,29,0,4.4,127.60000000000001,Hospital
2024-02-08,Likasi Shop,FG00147,INV-20240208-Lik-306,Customer_82,CUST082,31,0,30.87,956.97,Wholesale
2024-02-28,Pompage Shop,FG00041,INV-20240228-Pom-507,Customer_47,CUST047,7,2,10.47,94.23,Wholesale
2024-02-06,Pompage Shop,FG00226,INV-20240206-Pom-852,Customer_79,CUST079,27,0,12.96,349.92,Wholesale
2024-02-25,Appolo Depot,FG00420,INV-20240225-App-120,Customer_62,CUST062,17,3,56.8,1136.0,Wholesale
2024-02-14,Pascal Shop,FG00389,INV-20240214-Pas-709,Customer_39,CUST039,18,2,56.67,1133.4,Hospital
2024-02-05,Liberte,FG00132,INV-20240205-Lib-564,Customer_40,CUST040,18,0,11.88,213.84,Wholesale
2024-02-13,Pompage Shop,FG00037,INV-20240213-Pom-580,Customer_92,CUST092,20,0,12.74,254.8,Retail
2024-02-05,UPN,FG00003,INV-20240205-UPN-847,Customer_65,CUST065,9,0,29.5,265.5,Hospital
2024-02-12,Millennial Shop,FG00208,INV-20240212-Mil-860,Customer_51,CUST051,5,3,26.81,214.48,Wholesale
2024-02-13,Millennial Shop,FG00158,INV-20240213-Mil-172,Customer_76,CUST076,11,0,38.32,421.52,Wholesale
2024-02-02,Unique Commercial,FG00198,INV-20240202-Uni-298,Customer_21,CUST021,10,0,35.97,359.7,Wholesale
2024-02-09,Goma Shop,FG00261,INV-20240209-Gom-805,Customer_82,CUST082,13,0,24.91,323.83,Wholesale
2024-02-23,Boma Shop,FG00334,INV-20240223-Bom-853,Customer_55,CUST055,36,0,6.69,240.84,Retail
2024-02-08,Pompage Shop,FG00018,INV-20240208-Pom-746,Customer_47,CUST047,30,1,26.71,828.01,Hospital
2024-02-22,Goma,FG00358,INV-20240222-Gom-367,Customer_19,CUST019,42,0,23.76,997.9200000000001,Hospital
2024-02-15,Appolo Depot,FG00131,INV-20240215-App-778,Customer_75,CUST075,29,0,17.16,497.64,Retail
2024-02-01,Unique Commercial,FG00395,INV-20240201-Uni-493,Customer_92,CUST092,16,0,17.7,283.2,Wholesale
2024-02-23,Pascal Shop,FG00266,INV-20240223-Pas-269,Customer_55,CUST055,1,4,55.95,279.75,Wholesale
2024-02-09,Likasi Shop,FG00257,INV-20240209-Lik-491,Customer_85,CUST085,6,0,70.3,421.79999999999995,Hospital
2024-02-10,Kingaraz,FG00386,INV-20240210-Kin-990,Customer_94,CUST094,30,4,40.37,1372.58,Retail
2024-02-04,Goma Shop,FG00417,INV-20240204-Gom-314,Customer_96,CUST096,33,0,12.3,405.90000000000003,Hospital
2024-02-13,Likasi Shop,FG00004,INV-20240213-Lik-101,Customer_63,CUST063,25,2,30.33,818.91,Retail
2024-02-03,Kingaraz,FG00269,INV-20240203-Kin-850,Customer_37,CUST037,28,0,14.9,417.2,Wholesale
2024-02-06,Liberte,FG00192,INV-20240206-Lib-302,Customer_18,CUST018,27,0,35.97,971.1899999999999,Wholesale
2024-02-06,Unique Commercial,FG00231,INV-20240206-Uni-290,Customer_28,CUST028,22,0,31.96,703.12,Retail
2024-02-02,Liberte,FG00415,INV-20240202-Lib-992,Customer_34,CUST034,21,1,31.96,703.12,Wholesale
