Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2024-01-19,Goma Shop,FG00475,INV-20240119-Gom-608,Customer_73,CUST073,38,0,26.86,1020.68,Hospital
2024-01-24,Millennial Shop,FG00253,INV-20240124-Mil-338,Customer_79,CUST079,29,1,42.71,1281.3,Hospital
2024-01-10,UPN,FG00001,INV-20240110-UPN-740,Customer_60,CUST060,11,0,15.48,170.28,Retail
2024-01-24,NCPC Shop,FG00410,INV-20240124-NCP-523,Customer_54,CUST054,24,0,4.38,105.12,Retail
2024-01-11,Goma Shop,FG00287,INV-20240111-Gom-111,Customer_28,CUST028,6,3,19.05,171.45000000000002,Hospital
2024-01-07,Kolwezi Shop,FG00131,INV-20240107-Kol-407,Customer_40,CUST040,31,1,17.16,549.12,Hospital
2024-01-18,Bunia Shop,FG00393,INV-20240118-Bun-441,Customer_88,CUST088,2,0,15.38,30.76,Wholesale
2024-01-13,Goma,FG00427,INV-20240113-Gom-953,Customer_43,CUST043,33,0,33.95,1120.3500000000001,Wholesale
2024-01-22,Pompage Shop,FG00470,INV-20240122-Pom-761,Customer_5,CUST005,18,0,38.56,694.08,Retail
2024-01-16,Appolo Depot,FG00322,INV-20240116-App-443,Customer_69,CUST069,32,0,28.82,922.24,Wholesale
2024-01-26,Kingaraz,FG00476,INV-20240126-Kin-406,Customer_67,CUST067,4,1,39.73,198.64999999999998,Hospital
2024-01-24,Bunia Shop,FG00285,INV-20240124-Bun-691,Customer_27,CUST027,20,0,23.47,469.4,Hospital
2024-01-11,Goma Shop,FG00034,INV-20240111-Gom-960,Customer_36,CUST036,20,1,71.25,1496.25,Retail
2024-01-11,Matadi Kibala,FG00321,INV-20240111-Mat-684,Customer_22,CUST022,26,0,22.33,580.5799999999999,Hospital
2024-01-13,Liberte,FG00305,INV-20240113-Lib-415,Customer_97,CUST097,9,0,29.26,263.34000000000003,Hospital
2024-01-28,Bunia Shop,FG00364,INV-20240128-Bun-188,Customer_53,CUST053,18,0,27.74,499.32,Wholesale
2024-01-08,Kikwit Shop,FG00232,INV-20240108-Kik-321,Customer_39,CUST039,21,2,25.63,589.49,Hospital
2024-01-10,Liberte,FG00058,INV-20240110-Lib-896,Customer_5,CUST005,27,0,15.9,429.3,Retail
2024-01-03,Bibwa Shop,FG00260,INV-20240103-Bib-612,Customer_62,CUST062,8,0,5.76,46.08,Retail
2024-01-07,Bukavu Shop,FG00473,INV-20240107-Buk-417,Customer_68,CUST068,4,0,3.11,12.44,Wholesale
2024-01-05,Kimpese Shop,FG00421,INV-20240105-Kim-792,Customer_67,CUST067,32,2,39.79,1352.86,Retail
2024-01-07,Lubumbashi,FG00236,INV-20240107-Lub-218,Customer_67,CUST067,12,0,29.12,349.44,Retail
2024-01-10,Lubumbashi,FG00352,INV-20240110-Lub-441,Customer_12,CUST012,35,2,42.97,1589.8899999999999,Wholesale
2024-01-02,Kimpese Shop,FG00267,INV-20240102-Kim-419,Customer_96,CUST096,31,2,52.72,1739.76,Retail
2024-01-19,Likasi Shop,FG00328,INV-20240119-Lik-305,Customer_42,CUST042,40,3,24.78,1065.54,Retail
2024-01-10,Mwevu Shop,FG00273,INV-20240110-Mwe-787,Customer_57,CUST057,17,0,43.49,739.33,Retail
2024-01-09,Appolo Depot,FG00081,INV-20240109-App-737,Customer_2,CUST002,29,0,34.63,1004.2700000000001,Hospital
2024-01-17,Kimpese Shop,FG00106,INV-20240117-Kim-426,Customer_71,CUST071,26,0,13.22,343.72,Wholesale
2024-01-05,Kolwezi Shop,FG00294,INV-20240105-Kol-418,Customer_10,CUST010,33,0,18.65,615.4499999999999,Hospital
2024-01-11,Bibwa Shop,FG00026,INV-20240111-Bib-791,Customer_61,CUST061,10,0,59.2,592.0,Retail
2024-01-04,Matadi Kibala,FG00028,INV-20240104-Mat-283,Customer_51,CUST051,26,0,39.3,1021.8,Hospital
2024-01-20,Bibwa Shop,FG00316,INV-20240120-Bib-937,Customer_43,CUST043,30,0,52.65,1579.5,Retail
2024-01-23,Pascal Shop,FG00499,INV-20240123-Pas-576,Customer_98,CUST098,2,0,48.75,97.5,Hospital
2024-01-05,Pascal Shop,FG00417,INV-20240105-Pas-579,Customer_90,CUST090,1,1,12.3,24.6,Retail
2024-01-15,Likasi Shop,FG00351,INV-20240115-Lik-576,Customer_99,CUST099,27,0,25.65,692.55,Wholesale
