Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2024-07-07,Likasi Shop,FG00471,INV-20240707-Lik-346,Customer_15,CUST015,27,0,1.6,43.2,Retail
2024-07-25,Millennial Shop,FG00383,INV-20240725-Mil-880,Customer_60,CUST060,20,0,31.82,636.4,Hospital
2024-07-18,Kingaraz,FG00024,INV-20240718-Kin-745,Customer_14,CUST014,25,3,18.95,530.6,Wholesale
2024-07-05,Goma Shop,FG00351,INV-20240705-Gom-152,Customer_97,CUST097,15,2,25.65,436.04999999999995,Hospital
2024-07-17,Kananga Shop,FG00051,INV-20240717-Kan-965,Customer_37,CUST037,1,0,48.51,48.51,Hospital
2024-07-15,Bukavu Shop,FG00445,INV-20240715-Buk-743,Customer_2,CUST002,1,0,40.83,40.83,Retail
2024-07-03,NCPC Shop,FG00491,INV-20240703-NCP-445,Customer_29,CUST029,28,0,18.66,522.48,Hospital
2024-07-06,Unique Commercial,FG00012,INV-20240706-Uni-671,Customer_22,CUST022,19,0,38.82,737.58,Hospital
2024-07-22,Bibwa Shop,FG00268,INV-20240722-Bib-240,Customer_61,CUST061,31,0,35.42,1098.02,Wholesale
2024-07-20,Boma Shop,FG00367,INV-20240720-Bom-525,Customer_15,CUST015,25,0,38.48,961.9999999999999,Retail
2024-07-14,Goma,FG00283,INV-20240714-Gom-897,Customer_15,CUST015,38,0,15.52,589.76,Hospital
2024-07-16,Appolo Depot,FG00067,INV-20240716-App-710,Customer_87,CUST087,24,2,6.33,164.58,Hospital
2024-07-21,Matadi Kibala,FG00129,INV-20240721-Mat-223,Customer_100,CUST100,20,0,1.07,21.400000000000002,Hospital
2024-07-07,Millennial Shop,FG00174,INV-20240707-Mil-558,Customer_6,CUST006,4,3,18.15,127.04999999999998,Wholesale
2024-07-18,Kimpese Shop,FG00461,INV-20240718-Kim-917,Customer_24,CUST024,13,2,6.76,101.39999999999999,Wholesale
2024-07-18,Kinshasa,FG00345,INV-20240718-Kin-475,Customer_71,CUST071,4,0,30.8,123.2,Wholesale
2024-07-15,Lubumbashi,FG00008,INV-20240715-Lub-785,Customer_33,CUST033,34,0,43.44,1476.96,Wholesale
2024-07-07,Tshikapa Shop,FG00110,INV-20240707-Tsh-266,Customer_24,CUST024,16,3,4.77,90.63,Retail
2024-07-13,Lubumbashi,FG00405,INV-20240713-Lub-784,Customer_78,CUST078,19,0,25.02,475.38,Wholesale
2024-07-18,Goma Shop,FG00434,INV-20240718-Gom-782,Customer_51,CUST051,28,0,5.96,166.88,Wholesale
2024-07-01,Matadi Kibala,FG00411,INV-20240701-Mat-465,Customer_88,CUST088,14,0,16.65,233.09999999999997,Retail
2024-07-14,Unique Commercial,FG00126,INV-20240714-Uni-813,Customer_47,CUST047,26,0,21.93,570.18,Hospital
2024-07-05,Pascal Shop,FG00165,INV-20240705-Pas-958,Customer_15,CUST015,20,0,8.13,162.60000000000002,Wholesale
2024-07-10,Appolo Depot,FG00199,INV-20240710-App-109,Customer_62,CUST062,4,0,35.58,142.32,Retail
2024-07-07,Kikwit Shop,FG00024,INV-20240707-Kik-635,Customer_84,CUST084,21,4,18.95,473.75,Wholesale
2024-07-26,R P Ngaba,FG00145,INV-20240726-R P-866,Customer_90,CUST090,24,1,14.96,374.0,Hospital
2024-07-04,Kisangani Shop,FG00296,INV-20240704-Kis-975,Customer_70,CUST070,30,0,26.59,797.7,Wholesale
