Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2024-05-07,Liberte,FG00363,INV-20240507-Lib-854,Customer_14,CUST014,24,0,18.76,450.24,Retail
2024-05-07,Matadi Shop,FG00065,INV-20240507-Mat-999,Customer_19,CUST019,29,0,11.82,342.78000000000003,Hospital
2024-05-01,Likasi Shop,FG00320,INV-20240501-Lik-856,Customer_49,CUST049,9,0,13.26,119.34,Retail
2024-05-03,Mbandaka Shop,FG00213,INV-20240503-Mba-308,Customer_21,CUST021,24,0,32.95,790.8000000000001,Hospital
2024-05-18,Gemena Shop,FG00177,INV-20240518-Gem-885,Customer_22,CUST022,17,0,27.89,474.13,Wholesale
2024-05-13,Pascal Shop,FG00341,INV-20240513-Pas-458,Customer_24,CUST024,28,0,25.09,702.52,Wholesale
2024-05-15,Bunia Shop,FG00134,INV-20240515-Bun-675,Customer_47,CUST047,1,1,14.03,28.06,Hospital
2024-05-09,Pompage Shop,FG00070,INV-20240509-Pom-133,Customer_74,CUST074,13,0,39.49,513.37,Wholesale
2024-05-05,Pascal Shop,FG00262,INV-20240505-Pas-859,Customer_86,CUST086,24,2,39.61,1029.86,Wholesale
2024-05-13,Mbandaka Shop,FG00374,INV-20240513-Mba-662,Customer_7,CUST007,12,0,34.47,413.64,Retail
2024-05-23,Bibwa Shop,FG00492,INV-20240523-Bib-279,Customer_61,CUST061,12,0,31.39,376.68,Retail
2024-05-15,NCPC Shop,FG00102,INV-20240515-NCP-845,Customer_92,CUST092,18,0,25.74,463.32,Retail
2024-05-19,Liberte,FG00490,INV-20240519-Lib-433,Customer_4,CUST004,11,2,66.93,870.0900000000001,Retail
2024-05-06,Appolo Depot,FG00296,INV-20240506-App-319,Customer_79,CUST079,16,0,26.59,425.44,Hospital
2024-05-14,R P Ngaba,FG00490,INV-20240514-R P-918,Customer_55,CUST055,16,0,66.93,1070.88,Wholesale
2024-05-22,Matadi Shop,FG00328,INV-20240522-Mat-663,Customer_71,CUST071,9,0,24.78,223.02,Retail
2024-05-08,R P Ngaba,FG00167,INV-20240508-R P-350,Customer_90,CUST090,3,0,25.08,75.24,Hospital
2024-05-28,NCPC Shop,FG00164,INV-20240528-NCP-373,Customer_40,CUST040,7,0,27.25,190.75,Wholesale
2024-05-04,Millennial Shop,FG00372,INV-20240504-Mil-861,Customer_95,CUST095,21,0,1.89,39.69,Wholesale
2024-05-08,R P Ngaba,FG00414,INV-20240508-R P-120,Customer_32,CUST032,33,0,43.65,1440.45,Hospital
2024-05-11,Kananga Shop,FG00444,INV-20240511-Kan-610,Customer_100,CUST100,23,0,28.74,661.02,Hospital
2024-05-23,Unique Commercial,FG00093,INV-20240523-Uni-944,Customer_78,CUST078,13,2,57.42,861.3000000000001,Hospital
2024-05-15,Kinshasa,FG00096,INV-20240515-Kin-171,Customer_57,CUST057,15,0,20.16,302.4,Retail
2024-05-02,Bukavu Shop,FG00127,INV-20240502-Buk-579,Customer_77,CUST077,13,0,61.62,801.06,Hospital
2024-05-16,Unique Commercial,FG00110,INV-20240516-Uni-241,Customer_42,CUST042,8,0,4.77,38.16,Hospital
2024-05-18,Mbandaka Shop,FG00067,INV-20240518-Mba-870,Customer_87,CUST087,2,0,6.33,12.66,Retail
2024-05-05,Kikwit Shop,FG00204,INV-20240505-Kik-983,Customer_93,CUST093,16,2,45.03,810.54,Retail
2024-05-18,UPN,FG00089,INV-20240518-UPN-371,Customer_6,CUST006,19,0,35.58,676.02,Hospital
2024-05-16,Gemena Shop,FG00266,INV-20240516-Gem-548,Customer_73,CUST073,15,0,55.95,839.25,Wholesale
2024-05-22,NCPC Shop,FG00355,INV-20240522-NCP-999,Customer_91,CUST091,10,2,3.57,42.839999999999996,Wholesale
2024-05-22,Goma Shop,FG00095,INV-20240522-Gom-503,Customer_69,CUST069,6,0,38.78,232.68,Retail
2024-05-26,Lubumbashi,FG00104,INV-20240526-Lub-341,Customer_39,CUST039,27,0,25.92,699.84,Wholesale
2024-05-21,Pascal Shop,FG00418,INV-20240521-Pas-428,Customer_74,CUST074,9,0,17.1,153.9,Retail
2024-05-15,Matadi Shop,FG00178,INV-20240515-Mat-315,Customer_21,CUST021,12,0,29.92,359.04,Hospital
2024-05-19,Pascal Shop,FG00012,INV-20240519-Pas-691,Customer_83,CUST083,14,2,38.82,621.12,Retail
2024-05-25,Goma Shop,FG00340,INV-20240525-Gom-303,Customer_39,CUST039,25,0,4.63,115.75,Wholesale
2024-05-09,UPN,FG00030,INV-20240509-UPN-105,Customer_26,CUST026,29,0,3.28,95.11999999999999,Hospital
2024-05-14,Pompage Shop,FG00043,INV-20240514-Pom-611,Customer_76,CUST076,25,0,2.15,53.75,Retail
2024-05-20,Unique Commercial,FG00075,INV-20240520-Uni-254,Customer_82,CUST082,8,0,53.46,427.68,Hospital
2024-05-05,Unique Commercial,FG00107,INV-20240505-Uni-817,Customer_88,CUST088,16,0,21.11,337.76,Wholesale
2024-05-14,Gemena Shop,FG00386,INV-20240514-Gem-217,Customer_7,CUST007,12,0,40.37,484.43999999999994,Hospital
2024-05-25,Pascal Shop,FG00060,INV-20240525-Pas-207,Customer_52,CUST052,33,0,25.41,838.53,Retail
2024-05-06,Lubumbashi,FG00062,INV-20240506-Lub-557,Customer_5,CUST005,8,0,14.3,114.4,Retail
2024-05-24,Bukavu Shop,FG00339,INV-20240524-Buk-878,Customer_68,CUST068,28,2,24.23,726.9,Wholesale
2024-05-08,UPN,FG00474,INV-20240508-UPN-319,Customer_94,CUST094,38,0,35.74,1358.1200000000001,Retail
2024-05-10,UPN,FG00221,INV-20240510-UPN-649,Customer_27,CUST027,15,0,26.58,398.7,Retail
