Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2024-11-04,R P Ngaba,FG00056,INV-20241104-R P-778,Customer_32,CUST032,10,0,69.25,692.5,Hospital
2024-11-03,Appolo Depot,FG00245,INV-20241103-App-904,Customer_97,CUST097,28,0,1.76,49.28,Retail
2024-11-27,Kingaraz,FG00167,INV-20241127-Kin-514,Customer_95,CUST095,21,0,25.08,526.68,Retail
2024-11-05,R P Ngaba,FG00446,INV-20241105-R P-764,Customer_70,CUST070,7,0,37.94,265.58,Retail
2024-11-21,Goma,FG00187,INV-20241121-Gom-529,Customer_37,CUST037,28,0,61.56,1723.68,Hospital
2024-11-23,Goma Shop,FG00128,INV-20241123-Gom-479,Customer_33,CUST033,5,0,43.18,215.9,Wholesale
2024-11-11,Bukavu Shop,FG00298,INV-20241111-Buk-517,Customer_17,CUST017,23,0,17.37,399.51000000000005,Retail
2024-11-23,Bukavu Shop,FG00220,INV-20241123-Buk-598,Customer_64,CUST064,11,0,42.61,468.71,Hospital
2024-11-20,Likasi Shop,FG00473,INV-20241120-Lik-761,Customer_30,CUST030,16,2,3.11,55.98,Retail
2024-11-16,Kingaraz,FG00440,INV-20241116-Kin-840,Customer_74,CUST074,25,3,3.99,111.72,Hospital
2024-11-02,Kananga Shop,FG00348,INV-20241102-Kan-129,Customer_5,CUST005,19,2,3.22,67.62,Hospital
2024-11-06,Mbandaka Shop,FG00205,INV-20241106-Mba-776,Customer_93,CUST093,15,0,30.72,460.79999999999995,Retail
2024-11-14,Goma,FG00095,INV-20241114-Gom-253,Customer_24,CUST024,21,2,38.78,891.94,Retail
2024-11-19,Bibwa Shop,FG00192,INV-20241119-Bib-123,Customer_87,CUST087,19,0,35.97,683.43,Wholesale
2024-11-04,Gemena Shop,FG00396,INV-20241104-Gem-758,Customer_56,CUST056,23,0,46.61,1072.03,Wholesale
2024-11-01,Matadi Shop,FG00490,INV-20241101-Mat-276,Customer_14,CUST014,23,0,66.93,1539.39,Retail
2024-11-02,NCPC Shop,FG00300,INV-20241102-NCP-416,Customer_33,CUST033,13,0,5.18,67.34,Hospital
2024-11-02,Gemena Shop,FG00224,INV-20241102-Gem-217,Customer_21,CUST021,34,0,28.53,970.02,Wholesale
2024-11-06,Matadi Shop,FG00283,INV-20241106-Mat-343,Customer_88,CUST088,24,0,15.52,372.48,Hospital
2024-11-27,Kisangani Shop,FG00302,INV-20241127-Kis-858,Customer_10,CUST010,17,0,21.63,367.71,Hospital
2024-11-06,Matadi Kibala,FG00401,INV-20241106-Mat-215,Customer_19,CUST019,11,0,4.84,53.239999999999995,Retail
2024-11-28,Bukavu Shop,FG00115,INV-20241128-Buk-263,Customer_11,CUST011,33,0,48.06,1585.98,Retail
2024-11-14,Lubumbashi,FG00444,INV-20241114-Lub-228,Customer_72,CUST072,21,0,28.74,603.54,Retail
2024-11-17,Kisangani Shop,FG00335,INV-20241117-Kis-386,Customer_96,CUST096,14,0,2.6,36.4,Retail
2024-11-15,Boma Shop,FG00162,INV-20241115-Bom-431,Customer_72,CUST072,25,0,25.58,639.5,Wholesale
2024-11-24,Bibwa Shop,FG00405,INV-20241124-Bib-248,Customer_71,CUST071,11,0,25.02,275.21999999999997,Retail
2024-11-13,UPN,FG00078,INV-20241113-UPN-630,Customer_85,CUST085,35,0,4.63,162.04999999999998,Hospital
2024-11-24,Goma,FG00492,INV-20241124-Gom-531,Customer_22,CUST022,33,0,31.39,1035.8700000000001,Hospital
2024-11-18,Boma Shop,FG00462,INV-20241118-Bom-820,Customer_54,CUST054,15,0,49.22,738.3,Wholesale
2024-11-12,Bunia Shop,FG00071,INV-20241112-Bun-602,Customer_35,CUST035,13,0,31.07,403.91,Wholesale
2024-11-01,Kingaraz,FG00420,INV-20241101-Kin-762,Customer_3,CUST003,5,0,56.8,284.0,Wholesale
2024-11-27,Kananga Shop,FG00226,INV-20241127-Kan-363,Customer_81,CUST081,6,0,12.96,77.76,Wholesale
