Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2025-08-17,NCPC Shop,FG00285,INV-20250817-NCP-783,Customer_83,CUST083,37,0,23.47,868.39,Retail
2025-08-09,Mwevu Shop,FG00278,INV-20250809-Mwe-786,Customer_22,CUST022,12,1,32.85,427.05,Retail
2025-08-07,UPN,FG00065,INV-20250807-UPN-408,Customer_94,CUST094,8,0,11.82,94.56,Wholesale
2025-08-25,Matete Shop,FG00062,INV-20250825-Mat-555,Customer_73,CUST073,1,0,14.3,14.3,Retail
2025-08-02,Kimpese Shop,FG00393,INV-20250802-Kim-250,Customer_26,CUST026,27,0,15.38,415.26000000000005,Retail
2025-08-08,Kisangani Shop,FG00229,INV-20250808-Kis-425,Customer_89,CUST089,22,2,44.71,1073.04,Hospital
2025-08-22,Liberte,FG00042,INV-20250822-Lib-777,Customer_45,CUST045,5,3,20.21,161.68,Wholesale
2025-08-27,Likasi Shop,FG00132,INV-20250827-Lik-589,Customer_20,CUST020,14,0,11.88,166.32000000000002,Retail
2025-08-23,Boma Shop,FG00448,INV-20250823-Bom-725,Customer_67,CUST067,25,0,30.34,758.5,Hospital
2025-08-21,Millennial Shop,FG00411,INV-20250821-Mil-269,Customer_33,CUST033,5,0,16.65,83.25,Retail
2025-08-22,Bukavu Shop,FG00315,INV-20250822-Buk-305,Customer_58,CUST058,18,0,62.94,1132.92,Retail
2025-08-07,Millennial Shop,FG00130,INV-20250807-Mil-763,Customer_47,CUST047,22,0,39.05,859.0999999999999,Retail
2025-08-17,NCPC Shop,FG00402,INV-20250817-NCP-966,Customer_35,CUST035,23,2,67.84,1696.0,Retail
2025-08-05,Boma Shop,FG00385,INV-20250805-Bom-509,Customer_7,CUST007,24,0,29.62,710.88,Hospital
2025-08-01,Mbandaka Shop,FG00002,INV-20250801-Mba-599,Customer_59,CUST059,21,0,38.07,799.47,Retail
2025-08-14,Matadi Kibala,FG00248,INV-20250814-Mat-464,Customer_65,CUST065,21,2,38.7,890.1,Hospital
2025-08-17,Bibwa Shop,FG00464,INV-20250817-Bib-844,Customer_12,CUST012,20,0,23.67,473.40000000000003,Hospital
2025-08-24,Bunia Shop,FG00240,INV-20250824-Bun-338,Customer_29,CUST029,7,0,7.74,54.18,Wholesale
2025-08-08,NCPC Shop,FG00256,INV-20250808-NCP-138,Customer_76,CUST076,1,2,42.42,127.26,Retail
2025-08-08,Kolwezi Shop,FG00401,INV-20250808-Kol-547,Customer_42,CUST042,28,0,4.84,135.51999999999998,Hospital
2025-08-24,Kolwezi Shop,FG00348,INV-20250824-Kol-880,Customer_49,CUST049,28,2,3.22,96.60000000000001,Retail
2025-08-20,R P Ngaba,FG00238,INV-20250820-R P-222,Customer_68,CUST068,1,0,1.75,1.75,Retail
2025-08-24,Lubumbashi,FG00237,INV-20250824-Lub-258,Customer_52,CUST052,21,0,11.81,248.01000000000002,Wholesale
2025-08-18,Lubumbashi,FG00451,INV-20250818-Lub-461,Customer_79,CUST079,21,0,31.26,656.46,Retail
2025-08-06,Kananga Shop,FG00337,INV-20250806-Kan-435,Customer_59,CUST059,17,0,42.92,729.64,Wholesale
2025-08-04,Bibwa Shop,FG00367,INV-20250804-Bib-254,Customer_58,CUST058,23,0,38.48,885.04,Retail
2025-08-03,Pompage Shop,FG00436,INV-20250803-Pom-165,Customer_3,CUST003,20,2,28.28,622.1600000000001,Retail
2025-08-15,Bunia Shop,FG00327,INV-20250815-Bun-500,Customer_89,CUST089,13,0,28.16,366.08,Wholesale
2025-08-15,Kolwezi Shop,FG00246,INV-20250815-Kol-144,Customer_15,CUST015,29,0,46.49,1348.21,Wholesale
2025-08-15,Likasi Shop,FG00444,INV-20250815-Lik-719,Customer_89,CUST089,15,0,28.74,431.09999999999997,Hospital
2025-08-26,Lubumbashi,FG00403,INV-20250826-Lub-817,Customer_16,CUST016,6,1,25.76,180.32000000000002,Wholesale
2025-08-16,Millennial Shop,FG00266,INV-20250816-Mil-828,Customer_95,CUST095,16,2,55.95,1007.1,Hospital
2025-08-02,Mbandaka Shop,FG00010,INV-20250802-Mba-869,Customer_37,CUST037,19,1,35.7,714.0,Hospital
