Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2025-12-08,Mbandaka Shop,FG00479,INV-20251208-Mba-494,Customer_27,CUST027,24,0,48.5,1164.0,Wholesale
2025-12-25,Quartier 1 Shop,FG00294,INV-20251225-Qua-796,Customer_73,CUST073,15,0,18.65,279.75,Wholesale
2025-12-14,Kikwit Shop,FG00357,INV-20251214-Kik-978,Customer_73,CUST073,21,2,1.84,42.32,Retail
2025-12-01,Kikwit Shop,FG00154,INV-20251201-Kik-470,Customer_68,CUST068,7,0,24.98,174.86,Retail
2025-12-15,NCPC Shop,FG00077,INV-20251215-NCP-189,Customer_77,CUST077,17,0,31.03,527.51,Wholesale
2025-12-06,Boma Shop,FG00445,INV-20251206-Bom-269,Customer_62,CUST062,18,0,40.83,734.9399999999999,Wholesale
2025-12-20,Tshikapa Shop,FG00187,INV-20251220-Tsh-140,Customer_17,CUST017,14,0,61.56,861.84,Hospital
2025-12-20,Matete Shop,FG00214,INV-20251220-Mat-448,Customer_18,CUST018,28,0,9.59,268.52,Retail
2025-12-16,Kinshasa,FG00036,INV-20251216-Kin-112,Customer_5,CUST005,12,0,60.91,730.92,Hospital
2025-12-10,Lubumbashi,FG00244,INV-20251210-Lub-624,Customer_67,CUST067,14,0,19.14,267.96000000000004,Retail
2025-12-05,Appolo Depot,FG00246,INV-20251205-App-624,Customer_40,CUST040,12,0,46.49,557.88,Wholesale
2025-12-19,Kisangani Shop,FG00452,INV-20251219-Kis-998,Customer_66,CUST066,30,0,42.54,1276.2,Wholesale
2025-12-17,Pompage Shop,FG00259,INV-20251217-Pom-310,Customer_62,CUST062,15,2,23.14,393.38,Wholesale
2025-12-02,Goma Shop,FG00120,INV-20251202-Gom-810,Customer_62,CUST062,39,0,21.94,855.6600000000001,Wholesale
2025-12-15,Gemena Shop,FG00466,INV-20251215-Gem-995,Customer_25,CUST025,19,0,15.5,294.5,Wholesale
2025-12-21,UPN,FG00227,INV-20251221-UPN-586,Customer_52,CUST052,31,0,73.02,2263.62,Retail
2025-12-18,Lubumbashi,FG00104,INV-20251218-Lub-826,Customer_16,CUST016,36,0,25.92,933.1200000000001,Hospital
