BRANCH,BRANCH CODE,INV.NO,DATE,CUSTOMER NAME,CUSTOMER ID,ITEM NAME,ITEM CODE,Quantity,Free Qty,Unit,Price,Amount (CDF),Amount(USD),Sales Type
APPOLO DEPOT,KWAD25INV,KWAD25INV000001,01/01/2025,CASH CLIENT WSL#000433,WSL000433,H-NAT (EMULSION GRASSE/AMINO) 1250ML,FG07208,1,0.0,PIECES,75.0,216750.0,75.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000002,02/01/2025,JEHOVA PHARMA DEL GUYLITH DR WSL#012880,WSL012880,UNISPAS (PHLOROGLUCINOL 150MG+TRIMÉTHYLP.150MG) B/10 SUPPO,FG06801,5,0.0,PIECES,3.0,43350.0,15.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000002,02/01/2025,JEHOVA PHARMA DEL GUYLITH DR WSL#012880,WSL012880,GANTCHIRURGICAX NO 7.5 PAIRE/1,FG01448,50,0.0,PIECES,0.16,23120.0,8.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000002,02/01/2025,JEHOVA PHARMA DEL GUYLITH DR WSL#012880,WSL012880,UNICLAV DUO 1125MG (AMOXICLAV) B/16 CES,FG03402,3,0.0,PIECES,5.0,43350.0,15.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000002,02/01/2025,JEHOVA PHARMA DEL GUYLITH DR WSL#012880,WSL012880,UNICLAV 1125MG AD (AMOXICLAV) B/12 SACHETS ORALE,FG03399,1,0.0,PIECES,5.5,15895.0,5.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000002,02/01/2025,JEHOVA PHARMA DEL GUYLITH DR WSL#012880,WSL012880,UNISPAS (PHLOROG.+TRIMETHYLPHLO.)80MG B/3X10 CES,FG06969,5,0.0,PIECES,2.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,EVAGON (VITAMINE A+E) B/2X12 CAPSULES MOLLES,FG01292,5,0.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,UNISPAS (PHLOROGLUCINOL 150MG+TRIMÉTHYLP.150MG) B/10 SUPPO,FG06801,5,0.0,PIECES,3.0,43350.0,15.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,KETOFEN 100MG (KETOPROFENE) B/12 SUPPOS,FG01693,3,0.0,PIECES,2.5,21675.0,7.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,KETOFEN 100MG/2ML ( KÉTOPROFÈNE) INJ. B/5AMP,FG07418,5,0.0,PIECES,1.5,21675.0,7.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,FLUX 125MG (FLUCLOXACILLINE) SUSP.ORALE 100ML,FG01396,5,0.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,FLUX 250MG (FLUCLOXACILLINE) SUSP. ORALE 100ML,FG01397,3,0.0,PIECES,3.0,26010.0,9.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,FLUX 500MG (FLUCLOXACILLINE) B/10 GELULES,FG01398,2,0.0,PIECES,2.0,11560.0,4.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,ZINQUE - DT 20MG (SULFATE DE ZINC ) B/10 CES,FG03567,3,0.0,PIECES,0.65,5635.5,1.95,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,LEVOQUE 750MG (LEVOFLOXACIN) B/ 10 CES,FG01793,3,0.0,PIECES,4.0,34680.0,12.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,LEVOQUE (LEVOFLOXACIN) PERFUSION (I.V.) FL/100ML,FG01791,5,0.0,PIECES,1.8,26010.0,9.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,LUTHER DP DISPERSIBLE B/ 6 CES,FG01863,10,0.0,PIECES,3.3,95370.0,33.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,LUTHER (ARTE.+LUME.) SUSPENSION FL/ 60ML,FG01858,10,2.0,PIECES,2.5,72250.0,25.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,LUTHER FORTE DISPERSIBLE B/ 12 CES,FG01865,10,0.0,PIECES,3.0,86700.0,30.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,LYCOTONE (LYCOPENE+MULTIVI+MINER) SUSP.FL/ 100ML,FG01872,5,0.0,PIECES,1.5,21675.0,7.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,NOCIGEL (ANTIACIDE + ANTIFLATULENT) SUSP. 200ML,FG02195,5,0.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,OUICEF 1000MG (CEFOTAXIME) INJ. B/1 VIAL + EAU,FG02349,20,2.0,PIECES,0.8,46240.0,16.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,TRIXON-1G (CEFTRIAXONE) INJ. B/1 VIAL+EAU DIST.,FG03350,30,3.0,PIECES,1.25,108375.0,37.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,QLINDA 600MG (CLINDAMYCINE) B/ 10 CAPS,FG02667,3,0.0,PIECES,3.5,30345.0,10.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,SUDROX 250MG (CEFADROXYL) POUDRE POUR SUSP. 100ML,FG03116,5,0.0,PIECES,3.0,43350.0,15.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,SUDROX-500MG (CEFADROXYL) B/12CAPS,FG03118,5,0.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,TRIXON-S-750MG (CEFTRI.+SULBAC.) INJ.B/1 VIAL,FG03353,5,0.0,PIECES,1.3,18785.0,6.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,TRIXON-T-1125 MG (CEFTRI.+TAZO.) INJ. B/1 VIAL,FG03354,5,0.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,UNICLAV 1125MG AD (AMOXICLAV) B/12 SACHETS ORALE,FG03399,2,0.0,PIECES,5.5,31790.0,11.0,Credit Sales
