Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2025-06-25,Gemena Shop,FG00002,INV-20250625-Gem-948,Customer_57,CUST057,25,2,38.07,1027.89,Hospital
2025-06-13,Goma,FG00440,INV-20250613-Gom-786,Customer_12,CUST012,29,0,3.99,115.71000000000001,Wholesale
2025-06-19,Mwevu Shop,FG00058,INV-20250619-Mwe-935,Customer_47,CUST047,16,0,15.9,254.4,Retail
2025-06-06,Kananga Shop,FG00404,INV-20250606-Kan-488,Customer_27,CUST027,21,0,62.25,1307.25,Hospital
2025-06-11,Kikwit Shop,FG00302,INV-20250611-Kik-263,Customer_69,CUST069,15,2,21.63,367.71,Wholesale
2025-06-15,Boma Shop,FG00355,INV-20250615-Bom-966,Customer_80,CUST080,16,0,3.57,57.12,Retail
2025-06-05,Kingaraz,FG00307,INV-20250605-Kin-940,Customer_15,CUST015,15,0,21.04,315.59999999999997,Wholesale
2025-06-13,Kananga Shop,FG00307,INV-20250613-Kan-971,Customer_3,CUST003,30,0,21.04,631.1999999999999,Hospital
2025-06-21,Liberte,FG00255,INV-20250621-Lib-111,Customer_3,CUST003,25,0,7.45,186.25,Retail
2025-06-23,Kisangani Shop,FG00182,INV-20250623-Kis-240,Customer_85,CUST085,28,0,6.56,183.67999999999998,Retail
2025-06-20,Kananga Shop,FG00188,INV-20250620-Kan-896,Customer_91,CUST091,18,1,28.2,535.8,Wholesale
2025-06-19,Unique Commercial,FG00172,INV-20250619-Uni-310,Customer_61,CUST061,17,1,1.45,26.099999999999998,Hospital
2025-06-09,Kananga Shop,FG00451,INV-20250609-Kan-750,Customer_45,CUST045,16,0,31.26,500.16,Hospital
2025-06-14,UPN,FG00105,INV-20250614-UPN-987,Customer_73,CUST073,28,0,36.38,1018.6400000000001,Hospital
2025-06-23,Mwevu Shop,FG00304,INV-20250623-Mwe-849,Customer_32,CUST032,1,0,25.78,25.78,Hospital
2025-06-24,Pompage Shop,FG00456,INV-20250624-Pom-991,Customer_64,CUST064,37,2,20.11,784.29,Retail
2025-06-04,Pascal Shop,FG00323,INV-20250604-Pas-975,Customer_89,CUST089,19,2,50.03,1050.63,Hospital
2025-06-22,Pascal Shop,FG00062,INV-20250622-Pas-915,Customer_30,CUST030,5,1,14.3,85.80000000000001,Wholesale
2025-06-20,Bunia Shop,FG00450,INV-20250620-Bun-313,Customer_21,CUST021,18,0,7.63,137.34,Retail
2025-06-04,Mwevu Shop,FG00121,INV-20250604-Mwe-744,Customer_11,CUST011,33,0,32.45,1070.8500000000001,Wholesale
2025-06-01,Gemena Shop,FG00450,INV-20250601-Gem-248,Customer_13,CUST013,19,2,7.63,160.23,Wholesale
2025-06-17,Millennial Shop,FG00396,INV-20250617-Mil-351,Customer_31,CUST031,14,0,46.61,652.54,Hospital
2025-06-17,Millennial Shop,FG00389,INV-20250617-Mil-141,Customer_83,CUST083,24,3,56.67,1530.0900000000001,Hospital
2025-06-24,Matadi Shop,FG00099,INV-20250624-Mat-276,Customer_23,CUST023,29,0,1.8,52.2,Hospital
2025-06-02,Appolo Depot,FG00093,INV-20250602-App-388,Customer_40,CUST040,19,2,57.42,1205.82,Hospital
2025-06-10,Mbandaka Shop,FG00442,INV-20250610-Mba-602,Customer_78,CUST078,25,0,39.48,986.9999999999999,Hospital
2025-06-25,Kimpese Shop,FG00213,INV-20250625-Kim-461,Customer_76,CUST076,25,3,32.95,922.6000000000001,Wholesale
2025-06-04,Lubumbashi,FG00411,INV-20250604-Lub-784,Customer_19,CUST019,31,0,16.65,516.15,Wholesale
