Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2025-10-23,Matadi Kibala,FG00180,INV-20251023-Mat-906,Customer_64,CUST064,10,0,7.74,77.4,Hospital
2025-10-06,Unique Commercial,FG00074,INV-20251006-Uni-717,Customer_93,CUST093,5,0,40.96,204.8,Wholesale
2025-10-05,Matete Shop,FG00048,INV-20251005-Mat-529,Customer_66,CUST066,7,0,21.18,148.26,Wholesale
2025-10-02,Quartier 1 Shop,FG00259,INV-20251002-Qua-830,Customer_90,CUST090,23,0,23.14,532.22,Hospital
2025-10-26,Pompage Shop,FG00072,INV-20251026-Pom-890,Customer_9,CUST009,33,2,8.59,300.65,Wholesale
2025-10-09,Bunia Shop,FG00482,INV-20251009-Bun-352,Customer_11,CUST011,22,0,28.07,617.54,Retail
2025-10-05,Bunia Shop,FG00284,INV-20251005-Bun-821,Customer_75,CUST075,31,0,4.49,139.19,Wholesale
2025-10-07,Kananga Shop,FG00284,INV-20251007-Kan-118,Customer_30,CUST030,4,2,4.49,26.94,Retail
2025-10-10,Mbandaka Shop,FG00453,INV-20251010-Mba-480,Customer_19,CUST019,19,0,17.43,331.17,Hospital
2025-10-13,Unique Commercial,FG00343,INV-20251013-Uni-758,Customer_96,CUST096,25,0,7.59,189.75,Hospital
2025-10-20,Mbandaka Shop,FG00004,INV-20251020-Mba-651,Customer_11,CUST011,15,0,30.33,454.95,Wholesale
2025-10-23,Matadi Kibala,FG00085,INV-20251023-Mat-387,Customer_1,CUST001,11,2,24.36,316.68,Wholesale
2025-10-13,Pascal Shop,FG00015,INV-20251013-Pas-545,Customer_5,CUST005,36,2,9.91,376.58,Hospital
2025-10-23,Matadi Shop,FG00294,INV-20251023-Mat-977,Customer_65,CUST065,14,0,18.65,261.09999999999997,Retail
2025-10-26,Matadi Kibala,FG00047,INV-20251026-Mat-832,Customer_26,CUST026,6,0,13.02,78.12,Retail
2025-10-19,Quartier 1 Shop,FG00167,INV-20251019-Qua-494,Customer_55,CUST055,3,0,25.08,75.24,Retail
2025-10-10,Goma Shop,FG00009,INV-20251010-Gom-173,Customer_71,CUST071,33,0,24.36,803.88,Hospital
2025-10-16,Kikwit Shop,FG00448,INV-20251016-Kik-934,Customer_30,CUST030,10,0,30.34,303.4,Wholesale
2025-10-10,UPN,FG00198,INV-20251010-UPN-447,Customer_23,CUST023,16,0,35.97,575.52,Retail
2025-10-10,R P Ngaba,FG00389,INV-20251010-R P-496,Customer_92,CUST092,33,0,56.67,1870.1100000000001,Retail
2025-10-17,Pascal Shop,FG00067,INV-20251017-Pas-934,Customer_42,CUST042,3,0,6.33,18.990000000000002,Hospital
2025-10-06,Matadi Shop,FG00080,INV-20251006-Mat-909,Customer_84,CUST084,34,0,6.68,227.12,Hospital
2025-10-20,Mbandaka Shop,FG00405,INV-20251020-Mba-565,Customer_70,CUST070,17,0,25.02,425.34,Retail
2025-10-01,Lubumbashi,FG00350,INV-20251001-Lub-765,Customer_31,CUST031,17,0,25.34,430.78,Retail
2025-10-27,Bibwa Shop,FG00309,INV-20251027-Bib-467,Customer_89,CUST089,12,2,39.96,559.44,Wholesale
2025-10-08,Gemena Shop,FG00381,INV-20251008-Gem-546,Customer_48,CUST048,13,0,6.79,88.27,Hospital
2025-10-24,Kolwezi Shop,FG00330,INV-20251024-Kol-704,Customer_71,CUST071,17,0,19.71,335.07,Wholesale
2025-10-12,Tshikapa Shop,FG00017,INV-20251012-Tsh-445,Customer_99,CUST099,6,0,12.73,76.38,Hospital
2025-10-09,Kinshasa,FG00099,INV-20251009-Kin-698,Customer_34,CUST034,22,0,1.8,39.6,Wholesale
2025-10-23,Pascal Shop,FG00099,INV-20251023-Pas-707,Customer_3,CUST003,8,1,1.8,16.2,Hospital
2025-10-28,Kananga Shop,FG00375,INV-20251028-Kan-831,Customer_20,CUST020,21,0,3.59,75.39,Retail
2025-10-27,Kikwit Shop,FG00166,INV-20251027-Kik-823,Customer_80,CUST080,17,0,33.54,570.18,Wholesale
2025-10-26,Tshikapa Shop,FG00087,INV-20251026-Tsh-365,Customer_10,CUST010,22,0,29.4,646.8,Retail
2025-10-08,Matete Shop,FG00378,INV-20251008-Mat-422,Customer_45,CUST045,26,0,1.71,44.46,Hospital
2025-10-25,Quartier 1 Shop,FG00439,INV-20251025-Qua-852,Customer_28,CUST028,8,0,53.41,427.28,Retail
2025-10-21,NCPC Shop,FG00006,INV-20251021-NCP-926,Customer_13,CUST013,19,0,12.96,246.24,Hospital
2025-10-08,Kimpese Shop,FG00040,INV-20251008-Kim-816,Customer_84,CUST084,1,0,18.06,18.06,Retail
2025-10-16,Tshikapa Shop,FG00483,INV-20251016-Tsh-580,Customer_54,CUST054,22,0,18.62,409.64000000000004,Hospital
2025-10-23,Boma Shop,FG00262,INV-20251023-Bom-316,Customer_16,CUST016,16,0,39.61,633.76,Hospital
2025-10-28,Kikwit Shop,FG00372,INV-20251028-Kik-255,Customer_95,CUST095,10,0,1.89,18.9,Retail
2025-10-27,Unique Commercial,FG00040,INV-20251027-Uni-130,Customer_75,CUST075,23,0,18.06,415.38,Hospital
2025-10-18,NCPC Shop,FG00340,INV-20251018-NCP-593,Customer_65,CUST065,31,1,4.63,148.16,Hospital
2025-10-19,NCPC Shop,FG00454,INV-20251019-NCP-715,Customer_6,CUST006,10,0,36.33,363.29999999999995,Hospital
2025-10-27,Matadi Shop,FG00097,INV-20251027-Mat-719,Customer_84,CUST084,21,0,21.29,447.09,Retail
2025-10-21,Quartier 1 Shop,FG00421,INV-20251021-Qua-118,Customer_21,CUST021,6,1,39.79,278.53,Hospital
2025-10-05,Kingaraz,FG00337,INV-20251005-Kin-618,Customer_94,CUST094,32,2,42.92,1459.28,Hospital
2025-10-04,Unique Commercial,FG00137,INV-20251004-Uni-425,Customer_98,CUST098,1,0,26.42,26.42,Hospital
2025-10-26,Kingaraz,FG00092,INV-20251026-Kin-478,Customer_32,CUST032,2,2,28.76,115.04,Hospital
2025-10-23,Kinshasa,FG00186,INV-20251023-Kin-892,Customer_68,CUST068,28,0,33.34,933.5200000000001,Wholesale
2025-10-16,Quartier 1 Shop,FG00257,INV-20251016-Qua-669,Customer_53,CUST053,24,0,70.3,1687.1999999999998,Wholesale
2025-10-19,Boma Shop,FG00092,INV-20251019-Bom-367,Customer_54,CUST054,33,0,28.76,949.08,Wholesale
2025-10-06,UPN,FG00336,INV-20251006-UPN-642,Customer_74,CUST074,38,0,2.4,91.2,Hospital
2025-10-21,Matadi Kibala,FG00140,INV-20251021-Mat-807,Customer_4,CUST004,23,0,38.9,894.6999999999999,Hospital
2025-10-25,Liberte,FG00352,INV-20251025-Lib-248,Customer_4,CUST004,25,0,42.97,1074.25,Hospital
2025-10-02,Millennial Shop,FG00465,INV-20251002-Mil-915,Customer_19,CUST019,40,0,48.15,1926.0,Retail
2025-10-21,Kananga Shop,FG00284,INV-20251021-Kan-192,Customer_5,CUST005,14,0,4.49,62.86,Wholesale
2025-10-15,Matadi Kibala,FG00277,INV-20251015-Mat-970,Customer_100,CUST100,10,0,60.18,601.8,Retail
2025-10-27,Matete Shop,FG00098,INV-20251027-Mat-872,Customer_78,CUST078,17,0,21.95,373.15,Retail
2025-10-11,Matete Shop,FG00183,INV-20251011-Mat-526,Customer_49,CUST049,35,4,37.05,1444.9499999999998,Hospital
2025-10-17,Kimpese Shop,FG00140,INV-20251017-Kim-954,Customer_32,CUST032,21,0,38.9,816.9,Wholesale
2025-10-18,Kananga Shop,FG00455,INV-20251018-Kan-432,Customer_36,CUST036,29,0,6.45,187.05,Retail
