Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2025-09-28,Kingaraz,FG00457,INV-20250928-Kin-126,Customer_24,CUST024,42,0,1.56,65.52,Wholesale
2025-09-09,Unique Commercial,FG00182,INV-20250909-Uni-126,Customer_65,CUST065,26,1,6.56,177.11999999999998,Hospital
2025-09-16,Kingaraz,FG00451,INV-20250916-Kin-884,Customer_60,CUST060,19,1,31.26,625.2,Wholesale
2025-09-01,Unique Commercial,FG00216,INV-20250901-Uni-241,Customer_49,CUST049,20,1,18.95,397.95,Retail
2025-09-24,Appolo Depot,FG00340,INV-20250924-App-228,Customer_49,CUST049,11,0,4.63,50.93,Wholesale
2025-09-01,Matete Shop,FG00191,INV-20250901-Mat-673,Customer_87,CUST087,36,0,8.34,300.24,Retail
2025-09-07,Pompage Shop,FG00277,INV-20250907-Pom-806,Customer_50,CUST050,27,0,60.18,1624.86,Retail
2025-09-07,Bunia Shop,FG00151,INV-20250907-Bun-765,Customer_47,CUST047,18,3,45.51,955.7099999999999,Retail
2025-09-06,Goma,FG00160,INV-20250906-Gom-931,Customer_73,CUST073,23,0,36.68,843.64,Wholesale
2025-09-08,Goma Shop,FG00430,INV-20250908-Gom-241,Customer_47,CUST047,16,0,5.39,86.24,Wholesale
2025-09-27,Boma Shop,FG00174,INV-20250927-Bom-384,Customer_8,CUST008,17,2,18.15,344.84999999999997,Wholesale
2025-09-26,Pascal Shop,FG00383,INV-20250926-Pas-850,Customer_3,CUST003,8,1,31.82,286.38,Wholesale
2025-09-21,Matadi Kibala,FG00392,INV-20250921-Mat-669,Customer_48,CUST048,2,0,21.22,42.44,Hospital
2025-09-02,Bunia Shop,FG00292,INV-20250902-Bun-316,Customer_34,CUST034,10,0,2.83,28.3,Hospital
2025-09-21,Pascal Shop,FG00173,INV-20250921-Pas-623,Customer_81,CUST081,20,2,26.09,573.98,Retail
2025-09-06,Appolo Depot,FG00485,INV-20250906-App-157,Customer_63,CUST063,1,0,23.7,23.7,Retail
2025-09-04,Kimpese Shop,FG00211,INV-20250904-Kim-512,Customer_50,CUST050,18,0,27.89,502.02,Hospital
2025-09-27,Lubumbashi,FG00083,INV-20250927-Lub-783,Customer_78,CUST078,25,1,25.82,671.32,Hospital
