Sale_Date,Branch,Item_Code,Invoice_No,Customer_Name,Customer_Id,Quantity,Free_Qty,Price,Amount_USD,Sales_Type
2026-03-28,Pascal Shop,FG00044,INV-20260328-Pas-557,Customer_77,CUST077,2,0,45.56,91.12,Wholesale
2026-03-07,Lubumbashi,FG00084,INV-20260307-Lub-534,Customer_55,CUST055,17,0,4.11,69.87,Hospital
2026-03-27,Goma Shop,FG00125,INV-20260327-Gom-774,Customer_90,CUST090,6,0,12.17,73.02,Hospital
2026-03-03,Goma Shop,FG00420,INV-20260303-Gom-733,Customer_60,CUST060,11,3,56.8,795.1999999999999,Retail
2026-03-22,Bibwa Shop,FG00082,INV-20260322-Bib-509,Customer_67,CUST067,26,0,31.54,820.04,Hospital
2026-03-18,R P Ngaba,FG00326,INV-20260318-R P-910,Customer_91,CUST091,14,0,55.74,780.36,Wholesale
2026-03-12,Unique Commercial,FG00343,INV-20260312-Uni-895,Customer_4,CUST004,27,0,7.59,204.93,Hospital
2026-03-19,Mbandaka Shop,FG00458,INV-20260319-Mba-548,Customer_55,CUST055,28,0,23.96,670.88,Retail
2026-03-02,Kinshasa,FG00134,INV-20260302-Kin-641,Customer_1,CUST001,18,0,14.03,252.54,Retail
2026-03-06,Millennial Shop,FG00395,INV-20260306-Mil-812,Customer_64,CUST064,6,1,17.7,123.89999999999999,Wholesale
2026-03-14,Kinshasa,FG00022,INV-20260314-Kin-191,Customer_16,CUST016,19,0,6.27,119.13,Wholesale
2026-03-14,Kingaraz,FG00121,INV-20260314-Kin-854,Customer_16,CUST016,7,2,32.45,292.05,Retail
2026-03-01,Mwevu Shop,FG00279,INV-20260301-Mwe-819,Customer_59,CUST059,22,0,35.4,778.8,Hospital
2026-03-21,UPN,FG00441,INV-20260321-UPN-953,Customer_29,CUST029,24,0,4.13,99.12,Hospital
2026-03-04,Appolo Depot,FG00129,INV-20260304-App-602,Customer_37,CUST037,22,0,1.07,23.540000000000003,Wholesale
2026-03-13,Matete Shop,FG00142,INV-20260313-Mat-189,Customer_56,CUST056,27,0,20.01,540.2700000000001,Wholesale
2026-03-20,Kimpese Shop,FG00014,INV-20260320-Kim-272,Customer_41,CUST041,18,0,9.12,164.16,Hospital
2026-03-15,Kimpese Shop,FG00234,INV-20260315-Kim-108,Customer_95,CUST095,22,0,25.13,552.86,Wholesale
2026-03-07,Kimpese Shop,FG00476,INV-20260307-Kim-294,Customer_9,CUST009,16,1,39.73,675.41,Hospital
2026-03-28,Bibwa Shop,FG00450,INV-20260328-Bib-295,Customer_73,CUST073,33,0,7.63,251.79,Retail
2026-03-21,Kinshasa,FG00376,INV-20260321-Kin-593,Customer_14,CUST014,1,0,16.63,16.63,Retail
2026-03-11,Goma Shop,FG00341,INV-20260311-Gom-601,Customer_79,CUST079,28,1,25.09,727.61,Retail
2026-03-16,Pompage Shop,FG00227,INV-20260316-Pom-539,Customer_15,CUST015,12,0,73.02,876.24,Wholesale
2026-03-10,Boma Shop,FG00458,INV-20260310-Bom-282,Customer_50,CUST050,22,0,23.96,527.12,Wholesale
2026-03-19,Bukavu Shop,FG00101,INV-20260319-Buk-375,Customer_47,CUST047,11,1,2.54,30.48,Wholesale
2026-03-20,Pompage Shop,FG00072,INV-20260320-Pom-792,Customer_96,CUST096,17,0,8.59,146.03,Retail
2026-03-17,UPN,FG00254,INV-20260317-UPN-456,Customer_74,CUST074,11,0,16.53,181.83,Wholesale
2026-03-04,Matete Shop,FG00370,INV-20260304-Mat-305,Customer_72,CUST072,36,0,4.4,158.4,Wholesale
2026-03-22,Bunia Shop,FG00009,INV-20260322-Bun-227,Customer_71,CUST071,37,0,24.36,901.3199999999999,Hospital
2026-03-02,R P Ngaba,FG00255,INV-20260302-R P-344,Customer_88,CUST088,1,0,7.45,7.45,Wholesale
2026-03-28,Mwevu Shop,FG00367,INV-20260328-Mwe-587,Customer_90,CUST090,25,0,38.48,961.9999999999999,Wholesale
2026-03-03,Lubumbashi,FG00185,INV-20260303-Lub-277,Customer_64,CUST064,28,2,10.91,327.3,Retail
